open ,high,low ,close,volume
34.5,34.75,34.5,34.5,96700
33.87,33.87,33.75,33.75,159500
32.37,32.37,32.25,32.25,201600
31,31,30.88,30.88,248600
30.37,30.37,30.25,30.25,177800
31.88,32,31.88,31.88,96000
31.88,31.88,31.62,31.62,105800
30.63,30.63,30.5,30.5,102900
30.63,30.75,30.63,30.63,63800
31.25,31.5,31.25,31.25,62800
31.12,31.12,31,31,59800
32.87,33,32.87,32.87,185600
32,32,31.88,31.88,134300
32.5,32.75,32.5,32.5,71000
32.87,33.13,32.87,32.87,158700
32.87,33,32.75,32.75,50100
32.37,32.37,32.25,32.25,110000
32.25,32.25,32,32,105800
31.12,31.12,31,31,125700
30,30,29.87,29.87,196000
28.5,28.5,28.25,28.25,206200
26.75,26.75,26.63,26.63,106100
27.62,27.75,27.62,27.62,85500
28.62,28.75,28.62,28.62,124400
28.62,28.87,28.62,28.62,35400
28.75,28.87,28.75,28.75,61900
27.5,27.5,27.25,27.25,74800
27.25,27.38,27.25,27.25,81900
26.5,26.5,26.37,26.37,61800
26.25,26.25,26.13,26.13,65000
25.75,25.75,25.5,25.5,49800
26.13,26.25,26.13,26.13,54800
27.25,27.5,27.25,27.25,85900
25.75,25.75,25.63,25.63,99600
24.38,24.38,24.25,24.25,108800
24.62,24.75,24.62,24.62,63000
24,24,23.75,23.75,75800
25.25,25.37,25.25,25.25,87000
25.63,25.75,25.63,25.63,48400
26.5,26.75,26.5,26.5,65900
26.63,26.75,26.63,26.63,52500
26.37,26.37,26.25,26.25,72200
26.13,26.13,26,26,61200
26,26,25.87,25.87,24000
25.87,25.87,25.63,25.63,51800
23.75,23.75,23.63,23.63,68400
22.63,22.63,22.5,22.5,126700
21.87,21.87,21.62,21.62,133300
22.5,22.63,22.5,22.5,264500
22.37,22.37,22.25,22.25,1032600
23.13,23.37,23.13,23.13,166200
24.25,24.5,24.25,24.25,195300
25.75,26,25.75,25.75,164900
25.63,25.63,25.5,25.5,168800
25.75,26,25.75,25.75,65200
26.75,27,26.75,26.75,98300
26.75,26.75,26.63,26.63,125700
26.37,26.37,26.13,26.13,31500
25.75,25.75,25.63,25.63,54800
24.88,24.88,24.75,24.75,54700
24.75,25,24.75,24.75,44200
24.75,24.75,24.5,24.5,71400
24.38,24.38,24.25,24.25,152100
26.37,26.5,26.37,26.37,140200
26.5,26.63,26.5,26.5,73600
26.13,26.13,26,26,101800
25.87,25.87,25.75,25.75,47700
27,27.25,27,27,98000
27.5,27.62,27.5,27.5,55800
27.88,28,27.88,27.88,149400
27.88,28,27.88,27.88,71700
27.88,28,27.88,27.88,29700
26.63,26.63,26.5,26.5,152000
25.12,25.12,25,25,106600
25.75,25.87,25.75,25.75,157800
27.5,27.62,27.5,27.5,127400
28.5,28.62,28.5,28.5,84800
29.25,29.37,29.25,29.25,259000
29.25,29.25,29,29,156500
