date,open
5-18-2012,42.05
5-21-2012,36.53
5-22-2012,32.61
5-23-2012,31.37
5-24-2012,32.95
5-25-2012,32.9
5-29-2012,31.48
5-30-2012,28.695
5-31-2012,28.545
6-1-2012,28.892
6-4-2012,27.2
6-5-2012,26.7
6-6-2012,26.07
6-7-2012,27
6-8-2012,26.55
6-11-2012,27.18
6-12-2012,27.48
6-13-2012,27.66
6-14-2012,27.65
6-15-2012,28.505
6-18-2012,29.955
6-19-2012,31.535
6-20-2012,31.92
6-21-2012,31.67
6-22-2012,32.41
6-25-2012,32.86
6-26-2012,32.69
6-27-2012,32.46
6-28-2012,31.96
6-29-2012,31.92
7-2-2012,31.25
7-3-2012,30.91
7-5-2012,31.32
7-6-2012,31.44
7-9-2012,32.1
7-10-2012,32.43
7-11-2012,31.48
7-12-2012,30.7
7-13-2012,31.04
7-16-2012,30.5
7-17-2012,28.48
7-18-2012,28.31
7-19-2012,29.41
7-20-2012,29
7-23-2012,28.12
7-24-2012,28.82
7-25-2012,28.39
7-26-2012,27.75
7-27-2012,23.19
7-30-2012,23.995
7-31-2012,23.37
8-1-2012,21.5
8-2-2012,20.77
8-3-2012,20.36
8-6-2012,21.39
8-7-2012,22.2
8-8-2012,20.71
8-9-2012,20.75
8-10-2012,21.41
8-13-2012,22.15
8-14-2012,21.41
8-15-2012,20.64
8-16-2012,20.44
8-17-2012,20.005
8-20-2012,19.05
8-21-2012,19.58
8-22-2012,19.36
8-23-2012,19.5
8-24-2012,19.52
8-27-2012,19.49
8-28-2012,19.1
8-29-2012,19.32
8-30-2012,19.27
8-31-2012,18.68
9-4-2012,18.08
9-5-2012,18.27
9-6-2012,18.74
9-7-2012,19.1
9-10-2012,19.06
9-11-2012,18.92
9-12-2012,20.76
9-13-2012,20.955
9-14-2012,21.13
9-17-2012,22.67
9-18-2012,21.6
9-19-2012,21.99
9-20-2012,23.02
9-21-2012,22.97
9-24-2012,21.78
9-25-2012,21.2
9-26-2012,20.145
9-27-2012,20.99
9-28-2012,20.57
10-1-2012,22.08
10-2-2012,22.08
10-3-2012,22.295
10-4-2012,22.32
10-5-2012,21.49
10-8-2012,20.4
10-9-2012,20.39
10-10-2012,19.93
10-11-2012,19.88
10-12-2012,19.75
10-15-2012,19.68
10-16-2012,19.68
10-17-2012,19.5
10-18-2012,19.7
10-19-2012,19
10-22-2012,19.25
10-23-2012,19.25
10-24-2012,24.13
10-25-2012,23.29
10-26-2012,22.4
10-31-2012,20.82
11-1-2012,21.08
11-2-2012,21.26
11-5-2012,21.1
11-6-2012,21.24
11-7-2012,20.85
11-8-2012,20.52
11-9-2012,19.955
11-12-2012,19.15
11-13-2012,19.605
11-14-2012,20.1
11-15-2012,22.34
11-16-2012,22.25
11-19-2012,23.955
11-20-2012,22.73
11-21-2012,23.22
11-23-2012,24.58
11-26-2012,24.935
11-27-2012,26.04
11-28-2012,25.94
11-29-2012,26.5
11-30-2012,27.26
12-3-2012,27.9999
12-4-2012,27.06
12-5-2012,27.75
12-6-2012,27.68
12-7-2012,27.07
12-10-2012,27.17
12-11-2012,28.07
12-12-2012,28
12-13-2012,27.59
12-14-2012,28.18
12-17-2012,26.77
12-18-2012,26.96
12-19-2012,27.83
12-20-2012,27.49
12-21-2012,26.66
12-24-2012,26.5
12-26-2012,27.03
12-27-2012,26.55
12-28-2012,25.48
12-31-2012,26.2
1-2-2013,27.44
1-3-2013,27.88
1-4-2013,28.01
1-7-2013,28.69
1-8-2013,29.51
1-9-2013,29.67
1-10-2013,30.6
1-11-2013,31.28
1-14-2013,32.08
1-15-2013,30.64
1-16-2013,30.21
1-17-2013,30.08
1-18-2013,30.31
1-22-2013,29.75
1-23-2013,31.1
1-24-2013,31.27
1-25-2013,31.41
1-28-2013,31.88
1-29-2013,32
1-30-2013,30.98
1-31-2013,29.15
2-1-2013,31.01
2-4-2013,29.06
2-5-2013,28.26
2-6-2013,28.74
2-7-2013,29.11
2-8-2013,28.89
2-11-2013,28.61
2-12-2013,27.67
2-13-2013,27.36
2-14-2013,28.02
2-15-2013,28.52
2-19-2013,28.23
2-20-2013,28.92
2-21-2013,28.28
2-22-2013,27.62
2-25-2013,27.16
2-26-2013,27.36
2-27-2013,27.34
2-28-2013,26.84
3-1-2013,27.05
3-4-2013,27.76
3-5-2013,27.88
3-6-2013,28.1
3-7-2013,27.57
3-8-2013,28.425
3-11-2013,28.01
3-12-2013,28.1
3-13-2013,27.62
3-14-2013,27.1
3-15-2013,27.03
3-18-2013,26.37
3-19-2013,26.53
3-20-2013,26.68
3-21-2013,25.66
3-22-2013,25.796
3-25-2013,25.75
3-26-2013,25.08
3-27-2013,25
3-28-2013,26.09
4-1-2013,25.63
4-2-2013,25.77
4-3-2013,25.83
4-4-2013,26.62
4-5-2013,26.86
4-8-2013,27.19
4-9-2013,26.58
4-10-2013,27.0099
4-11-2013,27.48
4-12-2013,28
4-15-2013,27.16
4-16-2013,26.81
4-17-2013,26.65
4-18-2013,26.82
4-19-2013,25.62
4-22-2013,25.81
4-23-2013,26.215
4-24-2013,25.93
4-25-2013,26.07
4-26-2013,26.6
4-29-2013,27.16
4-30-2013,27.13
5-1-2013,27.85
5-2-2013,28.0099
5-3-2013,29.04
5-6-2013,28.33
5-7-2013,27.55
5-8-2013,26.88
5-9-2013,27.08
5-10-2013,27.14
5-13-2013,26.6
5-14-2013,26.8854
5-15-2013,26.92
5-16-2013,26.48
5-17-2013,26.4
5-20-2013,26.18
5-21-2013,25.87
5-22-2013,25.65
5-23-2013,24.8
5-24-2013,24.97
5-28-2013,24.54
5-29-2013,23.79
5-30-2013,24.13
5-31-2013,24.63
6-3-2013,24.265
6-4-2013,23.89
6-5-2013,23.35
6-6-2013,22.99
6-7-2013,23.03
6-10-2013,24.06
6-11-2013,24.03
6-12-2013,24.16
6-13-2013,23.72
6-14-2013,23.56
6-17-2013,23.91
6-18-2013,24.09
6-19-2013,24.2
6-20-2013,24.28
6-21-2013,24.59
6-24-2013,23.95
6-25-2013,24.14
6-26-2013,24.51
6-27-2013,24.24
6-28-2013,24.68
7-1-2013,24.9694
7-2-2013,24.7
7-3-2013,24.22
7-5-2013,24.65
7-8-2013,24.47
7-9-2013,25.07
7-10-2013,25.58
7-11-2013,25.96
7-12-2013,25.74
7-15-2013,25.93
7-16-2013,26.39
7-17-2013,26.37
7-18-2013,26.75
7-19-2013,25.82
7-22-2013,25.99
7-23-2013,26.1
7-24-2013,26.32
7-25-2013,33.545
7-26-2013,33.77
7-29-2013,34.07
7-30-2013,35.65
7-31-2013,37.96
8-1-2013,37.3
8-2-2013,37.66
8-5-2013,38.43
8-6-2013,39.11
8-7-2013,38.61
8-8-2013,39.13
8-9-2013,38.59
8-12-2013,38.2
8-13-2013,38.24
8-14-2013,36.83
8-15-2013,36.36
8-16-2013,36.97
8-19-2013,37.43
8-20-2013,38.35
8-21-2013,38.38
8-22-2013,38.37
8-23-2013,39
8-26-2013,40.9
8-27-2013,40.68
8-28-2013,39.96
8-29-2013,40.89
8-30-2013,42.025
9-3-2013,41.84
9-4-2013,42.01
9-5-2013,41.79
9-6-2013,43.09
9-9-2013,44.36
9-10-2013,44.24
9-11-2013,43.39
9-12-2013,45.53
9-13-2013,45.04
9-16-2013,44.85
9-17-2013,42.5
9-18-2013,44.84
9-19-2013,45.51
9-20-2013,46.32
9-23-2013,47.28
9-24-2013,48.505
9-25-2013,49.23
9-26-2013,50.01
9-27-2013,50.29
9-30-2013,50.14
10-1-2013,49.97
10-2-2013,50.13
10-3-2013,50.47
10-4-2013,49.77
10-7-2013,50.73
10-8-2013,50.6
10-9-2013,47.375
10-10-2013,47.865
10-11-2013,49.18
10-14-2013,48.31
10-15-2013,49.99
10-16-2013,50.04
10-17-2013,51.12
10-18-2013,54.18
10-21-2013,54.68
10-22-2013,54.33
10-23-2013,51.75
10-24-2013,52.38
10-25-2013,53.18
10-28-2013,51.54
10-29-2013,50.73
10-30-2013,50
10-31-2013,47.155
11-1-2013,50.85
11-4-2013,49.365
11-5-2013,47.79
11-6-2013,50.26
11-7-2013,49.24
11-8-2013,47.81
11-11-2013,47.04
11-12-2013,46
11-13-2013,46.23
11-14-2013,48.7
11-15-2013,49.11
11-18-2013,48.47
11-19-2013,46.26
11-20-2013,46.61
11-21-2013,46.99
11-22-2013,47.04
11-25-2013,46.36
11-26-2013,44.66
11-27-2013,45.97
11-29-2013,46.75
12-2-2013,46.9
12-3-2013,46.75
12-4-2013,46.46
12-5-2013,48.15
12-6-2013,48.98
12-9-2013,48.09
12-10-2013,48.64
12-11-2013,50.55
12-12-2013,51.045
12-13-2013,51.66
12-16-2013,53.25
12-17-2013,54.76
12-18-2013,54.86
12-19-2013,54.33
12-20-2013,54.93
12-23-2013,55.5
12-24-2013,58.27
12-26-2013,58.32
12-27-2013,57.48
12-30-2013,54.93
12-31-2013,54.12
1-2-2014,54.83
1-3-2014,55.02
1-6-2014,54.42
1-7-2014,57.7
1-8-2014,57.6
1-9-2014,58.65
1-10-2014,57.13
1-13-2014,57.91
1-14-2014,56.46
1-15-2014,57.98
1-16-2014,57.26
1-17-2014,57.3
1-21-2014,56.6
1-22-2014,58.85
1-23-2014,56.37
1-24-2014,56.15
1-27-2014,54.73
1-28-2014,54.02
1-29-2014,54.61
1-30-2014,62.12
1-31-2014,60.47
2-3-2014,63.03
2-4-2014,62.05
2-5-2014,62.74
2-6-2014,61.46
2-7-2014,62.27
2-10-2014,64.3
2-11-2014,63.75
2-12-2014,64.92
2-13-2014,64.18
2-14-2014,67.5
2-18-2014,66.94
2-19-2014,67.05
2-20-2014,67.73
2-21-2014,69.69
2-24-2014,68.74
2-25-2014,70.95
2-26-2014,70.19
2-27-2014,69.34
2-28-2014,69.47
3-3-2014,66.96
3-4-2014,68.66
3-5-2014,69.69
3-6-2014,71.88
3-7-2014,71.08
3-10-2014,70.77
3-11-2014,72.5
3-12-2014,69.86
3-13-2014,71.29
3-14-2014,68.49
3-17-2014,68.18
3-18-2014,68.76
3-19-2014,69.17
3-20-2014,68.01
3-21-2014,67.53
3-24-2014,67.19
3-25-2014,64.89
3-26-2014,64.74
3-27-2014,60.51
3-28-2014,61.34
3-31-2014,60.78
4-1-2014,60.46
4-2-2014,63.21
4-3-2014,62.55
4-4-2014,59.94
4-7-2014,55.9
4-8-2014,57.68
4-9-2014,59.63
4-10-2014,63.08
4-11-2014,57.6
4-14-2014,60.09
4-15-2014,59.29
4-16-2014,59.79
4-17-2014,59.3
4-21-2014,59.46
4-22-2014,62.65
4-23-2014,63.45
4-24-2014,63.6
4-25-2014,59.97
4-28-2014,58.05
4-29-2014,56.09
4-30-2014,57.58
5-1-2014,60.43
5-2-2014,61.3
5-5-2014,59.67
5-6-2014,60.98
5-7-2014,58.77
5-8-2014,57.23
5-9-2014,56.85
5-12-2014,57.98
5-13-2014,59.66
5-14-2014,59.53
5-15-2014,59.26
5-16-2014,58.31
5-19-2014,57.89
5-20-2014,59.5
5-21-2014,58.56
5-22-2014,60.94
5-23-2014,60.41
5-27-2014,61.62
5-28-2014,63.39
5-29-2014,63.84
5-30-2014,63.95
6-2-2014,63.23
6-3-2014,62.62
6-4-2014,62.45
6-5-2014,63.66
6-6-2014,63.37
6-9-2014,62.4
6-10-2014,63.53
6-11-2014,65.32
6-12-2014,65.85
6-13-2014,64.7
6-16-2014,64.16
6-17-2014,64.1
6-18-2014,64.49
6-19-2014,65.46
6-20-2014,64.46
6-23-2014,64.32
6-24-2014,65.36
6-25-2014,65.58
6-26-2014,68
6-27-2014,67.31
6-30-2014,67.46
7-1-2014,67.58
7-2-2014,68.04
7-3-2014,66.855
7-7-2014,66.3
7-8-2014,65.06
7-9-2014,63.41
7-10-2014,63.31
7-11-2014,65.28
7-14-2014,67.13
7-15-2014,67.96
7-16-2014,67.54
7-17-2014,67.03
7-18-2014,66.8
7-21-2014,68.81
7-22-2014,69.76
7-23-2014,69.74
7-24-2014,75.96
7-25-2014,74.99
7-28-2014,75.17
7-29-2014,74.72
7-30-2014,74.21
7-31-2014,74
8-1-2014,72.22
8-4-2014,72.36
8-5-2014,73.2
8-6-2014,72.02
8-7-2014,73
8-8-2014,73.4
8-11-2014,73.46
8-12-2014,73.09
8-13-2014,73.12
8-14-2014,73.97
8-15-2014,74.32
8-18-2014,74
8-19-2014,74.81
8-20-2014,74.97
8-21-2014,74.92
8-22-2014,74.34
8-25-2014,74.94
8-26-2014,75
8-27-2014,75.27
8-28-2014,74
8-29-2014,74.3
9-2-2014,75.01
9-3-2014,77.14
9-4-2014,75.89
9-5-2014,76.1
9-8-2014,77.26
9-9-2014,77.59
9-10-2014,76.52
9-11-2014,77.13
9-12-2014,78.02
9-15-2014,77.15
9-16-2014,73.52
9-17-2014,75.96
9-18-2014,76.77
9-19-2014,77.4
9-22-2014,77
9-23-2014,76.33
9-24-2014,78.1
9-25-2014,78.6
9-26-2014,77.59
9-29-2014,78.12
9-30-2014,79.35
10-1-2014,78.78
10-2-2014,76.57
10-3-2014,77.76
10-6-2014,77.19
10-7-2014,77.05
10-8-2014,76.18
10-9-2014,77.28
10-10-2014,75.59
10-13-2014,73.23
10-14-2014,74
10-15-2014,71.69
10-16-2014,70.79
10-17-2014,74.23
10-20-2014,75.6
10-21-2014,77.56
10-22-2014,78.815
10-23-2014,79.38
10-24-2014,80.2
10-27-2014,80.74
10-28-2014,80.18
10-29-2014,75.45
10-30-2014,75.05
10-31-2014,74.93
11-3-2014,75.47
11-4-2014,74.23
11-5-2014,76.51
11-6-2014,74.89
11-7-2014,75.39
11-10-2014,75.36
11-11-2014,74.95
11-12-2014,74.28
11-13-2014,74.74
11-14-2014,74.27
11-17-2014,74.88
11-18-2014,74.45
11-19-2014,74.01
11-20-2014,72.8
11-21-2014,74.5
11-24-2014,73.54
11-25-2014,74.21
11-26-2014,75.53
11-28-2014,77.67
12-1-2014,77.26
12-2-2014,75.33
12-3-2014,75.38
12-4-2014,74.83
12-5-2014,75.8
12-8-2014,76.18
12-9-2014,75.2
12-10-2014,76.65
12-11-2014,76.52
12-12-2014,77.16
12-15-2014,78.46
12-16-2014,76.19
12-17-2014,75.01
12-18-2014,76.89
